Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
0,256,27.84375,2.04651,15.55078,3.88770,0.00000,0.00000
1,256,13.70312,1.00660,8.44141,2.11035,0.00000,0.00000
2,256,9.89062,0.72550,4.81250,1.20312,0.00000,0.00000
3,256,9.86719,0.72649,5.16406,1.29102,0.00000,0.00000
4,256,10.24609,0.75309,5.35156,1.33789,0.00000,0.00000
5,256,10.94141,0.80189,6.19922,1.54980,0.00000,0.00000
6,256,10.70312,0.78645,5.80859,1.45215,0.02129,0.02129
7,256,10.59375,0.77953,4.47266,1.11816,0.07954,0.07954
8,256,10.98438,0.80735,4.94531,1.23633,0.12281,0.12281
9,256,10.91016,0.80143,4.76953,1.19238,0.12064,0.12064
10,256,10.38281,0.76160,4.27734,1.06934,0.13041,0.13041
11,256,10.92188,0.80414,4.85156,1.21289,0.12140,0.12140
12,256,11.26562,0.82802,5.26953,1.31738,0.11627,0.11627
13,256,11.55469,0.84684,5.51172,1.37793,0.11477,0.11477
14,256,12.36719,0.90873,6.26562,1.56641,0.10596,0.10596
15,256,12.29688,0.90486,6.17969,1.54492,0.10621,0.10621
16,256,12.17969,0.89521,6.07031,1.51758,0.10760,0.10760
17,256,11.91016,0.87489,5.80078,1.45020,0.10859,0.10859
18,256,12.23828,0.89771,6.15234,1.53809,0.10950,0.10950
19,256,12.32031,0.90710,6.22266,1.55566,0.10689,0.10689
20,256,12.38281,0.91013,6.26953,1.56738,0.10575,0.10575
21,256,12.46484,0.91354,6.35938,1.58984,0.10817,0.10817
22,256,12.29297,0.90327,6.19141,1.54785,0.10668,0.10668
23,256,12.19922,0.89767,6.08984,1.52246,0.10741,0.10741
24,256,11.96484,0.87941,5.86719,1.46680,0.11002,0.11002
25,256,12.59766,0.92539,6.40625,1.60156,0.10187,0.10187
26,256,11.97656,0.87851,5.85938,1.46484,0.11141,0.11141
27,256,11.96875,0.88122,5.85938,1.46484,0.10837,0.10837
28,256,11.80078,0.86736,5.70312,1.42578,0.10519,0.10519
29,256,11.99219,0.87890,5.87891,1.46973,0.10760,0.10760
30,256,11.94922,0.87801,5.71875,1.42969,0.11194,0.11194
31,256,11.87109,0.87353,5.64453,1.41113,0.12752,0.12752
32,256,11.46875,0.84295,5.42969,1.35742,0.11656,0.11656
33,256,11.49609,0.84448,5.45312,1.36328,0.13294,0.13294
34,256,11.23047,0.82378,5.29297,1.32324,0.14049,0.14049
